BID,score,framework_id
5,0.25,1
5,0.25,2
5,0.25,3
5,0.25,4
5,0.25,5
5,0.25,6
5,0.25,7
5,0.25,8
5,0.25,9
5,0.25,10
5,0.25,11
5,0.25,12
5,0.25,13
5,0.25,14
5,0.25,15
6,0.25,1
6,0.333333333,2
6,0.5,3
6,1,4
6,0,5
6,0,6
6,1,7
6,0,8
6,0,9
6,999,10
6,0,11
6,0,12
6,0,13
6,999,14
6,0,15
7,0.25,1
7,0.25,2
7,0.25,3
7,0.25,4
7,0.25,5
7,0.25,6
7,0.25,7
7,0.25,8
7,0.25,9
7,0.25,10
7,0.25,11
7,0.25,12
7,0.25,13
7,0.25,14
7,0.25,15
8,1,1
8,0,2
8,1,3
8,1,4
8,1,5
8,0,6
8,1,7
8,1,8
8,1,9
8,999,10
8,0.5,11
8,0.5,12
8,0,13
8,1,14
8,0,15
9,0.25,1
9,0.25,2
9,0.25,3
9,0.25,4
9,0.25,5
9,0.25,6
9,0.25,7
9,0.25,8
9,0.25,9
9,0.25,10
9,0.25,11
9,0.25,12
9,0.25,13
9,0.25,14
9,0.25,15
10,0.666666667,1
10,0,2
10,0.5,3
10,1,4
10,0,5
10,0,6
10,1,7
10,1,8
10,1,9
10,999,10
10,1,11
10,1,12
10,0,13
10,1,14
10,1,15
