BID,day,date,AER_score,TC_score,humidity_score,noise_score,co2,AER,temp,RH,SH,noise,PMV,PPD
5,1,2015-11-09, 0.54 , 0.83 , 1.00 , 0.69 ,649.8850222,0.5425,23.28176172,36.09030665,6.447948272,51.14362101,-0.217973828,7.530763326
5,2,2015-11-10, 0.77 , 0.86 , 1.00 , 0.73 ,498.6602968,0.77475,23.49542117,21.37951127,3.879561836,50.3618005,-0.269885513,7.028439131
5,3,2015-11-11, 0.46 , 0.88 , 1.00 , 0.73 ,552.1231883,0.464,23.60185855,23.67702851,4.314821088,50.39530888,-0.223880423,6.727710427
5,4,2015-11-12, 0.39 , 0.91 , 1.00 , 0.73 ,724.7832646,0.385285714,24.23526763,21.40594813,4.052662526,50.35542678,-0.069744339,6.366133937
5,5,2015-11-13, 0.89 , 0.68 , 1.00 , 0.81 ,514.1883761,0.893,22.98081233,20.5,3.599965784,48.75108225,-0.415217955,9.750287012
6,1,2015-11-09, 0.38 , 0.92 , 1.00 , 0.58 ,700.7462547,0.3825,23.25523679,38.72580042,6.909186703,53.48556638,-0.20597957,6.264999608
6,2,2015-11-10, 0.89 , 0.91 , 1.00 , 0.55 ,568.7515675,0.88825,23.84910182,20.43282576,3.777084689,53.94511982,-0.182052358,6.368202586
6,3,2015-11-11, 0.40 , 0.94 , 1.00 , 0.57 ,640.5058494,0.400444444,24.00207702,24.18648857,4.516788782,53.53557596,-0.111238417,5.887881394
6,4,2015-11-12, 0.27 , 0.94 , 1.00 , 0.55 ,790.1745427,0.269909091,24.38833747,21.76339127,4.158673638,53.94521397,-0.025496727,5.849566558
6,5,2015-11-13, 0.42 , 0.88 , 1.00 , 0.61 ,626.6515921,0.4245,23.4356467,21.74515993,3.921258493,52.87842201,-0.283761843,6.738329202
7,1,2015-11-30,,,,,,,,,,,,
7,2,2015-12-01, 0.56 , 0.65 , 1.00 , 0.83 ,567.8698728,0.5625,22.60422102,34.89244783,6.005320311,48.46244839,-0.412290967,10.24028061
7,3,2015-12-02, 0.46 , 0.85 , 1.00 , 0.86 ,669.5299974,0.46,23.09411023,35.46183122,6.287292031,47.77138231,-0.273574298,7.258672708
7,4,2015-12-03, 0.68 , 0.66 , 1.00 , 0.85 ,603.8220956,0.6832,22.35031898,43.09375,7.310356361,48.00398701,-0.423945447,10.17397461
7,5,2015-12-04, 0.53 , 0.49 , 1.00 , 0.88 ,615.7724821,0.5255,21.90044334,44.38506621,7.315720127,47.44997263,-0.539975211,12.61611806
8,1,2015-11-30,, -   , 1.00 , 0.83 ,621.9748586,,21.12097717,39.94814737,6.249962156,48.30209416,-0.784755569,20.56884613
8,2,2015-12-01, 0.29 , 0.90 , 1.00 , 0.83 ,530.1476421,0.2885,23.36044869,29.72834545,5.35292731,48.38718847,-0.243384623,6.550777265
8,3,2015-12-02, 0.70 , 0.94 , 1.00 , 0.86 ,548.7069684,0.697,23.62726196,30.91215469,5.659508317,47.826182,-0.16117951,5.918927578
8,4,2015-12-03, 0.74 , 0.97 , 1.00 , 0.86 ,509.6538252,0.741777778,23.77642324,38.44830364,7.118651456,47.8824064,-0.061693583,5.386763187
8,5,2015-12-04, 0.93 , 0.89 , 1.00 , 0.83 ,543.0788994,0.932,23.03571285,41.52041001,7.350536338,48.40623773,-0.244661352,6.621696192
9,1,2016-02-01, 0.70 , 0.59 , 1.00 , 0.45 ,634.0620463,0.69675,22.63708623,29.3761744,5.050401222,55.97401893,-0.443511278,11.07599702
9,2,2016-02-02, 0.66 , 0.74 , 1.00 , 0.46 ,678.9508648,0.657375,23.07678284,29.7617493,5.264199305,55.72591816,-0.320488189,8.831683313
9,3,2016-02-03, 0.81 , 0.63 , 1.00 , 0.43 ,631.5324925,0.8125,22.68663659,35.19904098,6.069895044,56.32507556,-0.387773435,10.51510215
9,4,2016-02-04, 0.31 , 0.78 , 1.00 , 0.49 ,711.1580981,0.311,23.13828677,30.41800427,5.393100136,55.24904159,-0.299155254,8.360267291
9,5,2016-02-05,, 0.51 , 1.00 , 0.37 ,675.2032432,,22.25454655,29.60800395,4.988513814,57.51534914,-0.545567923,12.3306567
10,1,2015-12-14, 0.21 , 0.89 , 1.00 , 0.60 ,788.1049839,0.206666667,23.13081472,36.22541776,6.438819639,52.93496689,-0.257835128,6.66166226
10,2,2015-12-15, 0.36 , 0.85 , 1.00 , 0.52 ,823.4746608,0.358833333,23.80871817,28.46857692,5.259886463,54.55625862,-0.130250819,7.210343443
10,3,2015-12-16, 0.34 , 0.87 , 1.00 , 0.55 ,771.4191265,0.336,23.95447357,25.65588186,4.777923185,53.90518034,-0.112470323,6.912119149
10,4,2015-12-17, 0.51 , 0.93 , 1.00 , 0.54 ,742.6139874,0.5077,23.65451058,26.51171138,4.852562508,54.10535236,-0.187771389,6.070345875
10,5,2015-12-18, 0.49 , 0.85 , 1.00 , 0.34 ,651.257937,0.488,23.29871292,28.90821221,5.184282256,58.18670635,-0.266383265,7.182326435
