PID,BID,Floor
510,5,4
511,5,3
512,5,4
513,5,1
514,5,2
515,5,4
516,5,2
517,5,2
518,5,2
519,5,2
520,5,2
521,5,1
622,6,4
623,6,3
624,6,3
625,6,3
626,6,3
627,6,3
628,6,3
629,6,3
630,6,3
631,6,3
632,6,3
633,6,3
710,7,4
711,7,4
712,7,4
713,7,4
714,7,4
715,7,1
716,7,1
717,7,4
718,7,4
719,7,4
721,7,1
822,8,10
823,8,10
824,8,10
825,8,10
826,8,10
827,8,10
828,8,10
829,8,10
830,8,10
831,8,10
832,8,10
833,8,10
910,9,7
911,9,7
912,9,7
913,9,5
914,9,5
915,9,6
917,9,5
918,9,5
919,9,5
921,9,5
1022,10,25
1023,10,25
1024,10,25
1025,10,25
1026,10,25
1027,10,25
1028,10,25
1029,10,25
1030,10,25
1031,10,25
1032,10,25
1033,10,25
