BID,day,date,enhanced_iaq,tc,iaq_perf,low_emit_air,iaq_assess,acoustic,low_emit_dirt,green_clean,ipm,int_lighting,daylight,views,mold,ets,surveys,baseline,aer_score,tc_score,humidity_score,noise_score,steps_score,sleep_score,rt_score,overall_score,co2,aer,temp,rh,sh,noise,pmv,ppd,steps,sleep,num_sensors
5,1,2015-11-09,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,10.50,0.54,0.83,1.00,0.69,0.82,0.87,16.07,26.57,649.89,0.54,23.28,36.09,6.45,51.14,-0.22,7.53,8.16,0.87,4
5,2,2015-11-10,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,10.50,0.77,0.86,1.00,0.73,0.44,0.89,17.33,27.83,498.66,0.77,23.50,21.38,3.88,50.36,-0.27,7.03,4.42,0.89,10
5,3,2015-11-11,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,10.50,0.46,0.88,1.00,0.73,0.40,0.90,15.24,25.74,552.12,0.46,23.60,23.68,4.31,50.40,-0.22,6.73,4.04,0.90,10
5,4,2015-11-12,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,10.50,0.39,0.91,1.00,0.73,0.35,0.72,14.39,24.89,724.78,0.39,24.24,21.41,4.05,50.36,-0.07,6.37,3.52,0.72,9
5,5,2015-11-13,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,10.50,0.89,0.68,1.00,0.81,0.21,0.25,15.89,26.39,514.19,0.89,22.98,20.50,3.57,48.75,-0.42,9.75,2.11,0.25,5
6,1,2015-11-09,0.25,0.33,0.50,1.00,0.00,0.25,1.00,0.25,0.25,0.00,0.00,0.00,0.25,1.00,0.25,14.50,0.38,0.92,1.00,0.58,0.71,0.92,15.08,29.58,700.75,0.38,23.26,38.73,6.91,53.49,-0.21,6.26,7.11,0.92,10
6,2,2015-11-10,0.25,0.33,0.50,1.00,0.00,0.25,1.00,0.25,0.25,0.00,0.00,0.00,0.25,1.00,0.25,14.50,0.89,0.91,1.00,0.55,0.63,0.88,18.25,32.75,568.75,0.89,23.85,20.43,3.78,53.95,-0.18,6.37,6.26,0.88,11
6,3,2015-11-11,0.25,0.33,0.50,1.00,0.00,0.25,1.00,0.25,0.25,0.00,0.00,0.00,0.25,1.00,0.25,14.50,0.40,0.94,1.00,0.57,0.57,0.92,15.09,29.59,640.51,0.40,24.00,24.19,4.52,53.54,-0.11,5.89,5.70,0.92,12
6,4,2015-11-12,0.25,0.33,0.50,1.00,0.00,0.25,1.00,0.25,0.25,0.00,0.00,0.00,0.25,1.00,0.25,14.50,0.27,0.94,1.00,0.55,0.55,0.69,13.64,28.14,790.17,0.27,24.39,21.76,4.16,53.95,-0.03,5.85,5.54,0.69,12
6,5,2015-11-13,0.25,0.33,0.50,1.00,0.00,0.25,1.00,0.25,0.25,0.00,0.00,0.00,0.25,1.00,0.25,14.50,0.42,0.88,1.00,0.61,0.16,0.25,13.29,27.79,626.65,0.42,23.44,21.75,3.92,52.88,-0.28,6.74,1.55,0.25,6
